#|Forelæsning|Mappe|Primære emner
1|Hej C og Python|oop_1|Programmeringssprog, grundlæggende syntaks, miljøopsætning
2|Objekter, indkapsling, interaktion|oop_2|Klasser, metoder, dataindkapsling, objektinteraktion
3|Filer og dataindlæsning|oop_3|Fra tekstfil til objekter
4|OOP-integration workshop|oop_4_workshop|Integration af OOP, fil-I/O, visualisering; overvågningssystemer til enheder
5|Signalgrundlag|signals_1|EKG-fysiologi, statistik, peak-detektion
6|Filtrering og mekaniske signaler|signals_2|Filtrering, SCG-fysiologi, mekanisk timing, Envelope-udtrækning
7|Feature engineering, PPG og regression|signals_3|Feature-definition, PPG-fysiologi, lineær regression, variationsmål
8|Signalintegration og etik|signals_4_workshop|Multimodal integration, refleksion over signal-workflow, etisk analyse
9|Review af Python Serial Recorder|python_serial_recorder|Gennemgang af Python Serial Recorder, diskussion af anvendelser og forbedringer
10|Lineær regression med populationsdata|populations_data_1|Lineær regression, modelvalidering, residualer
11|Datavisualisering og unsupervised læring|populations_data_2|Datavisualisering, fordelinger, scatter plots, k-means clustering (Iris-datasæt)
12|Supervised learning: klassifikation|populations_data_3|k-NN-klassifikation, beslutningsgrænser, modelevaluering
